2019-09-25 05:51:10,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 05:45:56,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 05:32:50,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 05:30:09,b'top trade flow for Tuesday: price x share volume - $AMZN $AAPL $NFLX $ROKU $MSFT $TSLA $FB $BABA $AMD $GOOGL $SHOP\xe2\x80\xa6 https://t.co/268XouuuWN'
2019-09-25 04:58:27,b'RT @stock_family: $MSFT \n\nTook a couple more at .23 https://t.co/l7tmgM8W27'
2019-09-25 04:55:10,b'RT @nikolascostello: #WealthTax: All are paper rich &amp; own millions of shares in their own companies. Taxing them at 8% means them selling s\xe2\x80\xa6'
2019-09-25 04:46:42,b'RT @nikolascostello: #WealthTax: All are paper rich &amp; own millions of shares in their own companies. Taxing them at 8% means them selling s\xe2\x80\xa6'
2019-09-25 04:46:42,b'RT @aeassa1: This doesn\xe2\x80\x99t actually make any sense. Gates\xe2\x80\x99 and Bezos\xe2\x80\x99 wealth are largely in the form of significant ownership of $MSFT and $\xe2\x80\xa6'
2019-09-25 04:43:34,b'$SPY $V $CRMD $GE $MSFT https://t.co/3DdYiGA3LA'
2019-09-25 04:43:18,"b""RT @techeblog: Microsoft's Project xCloud game-streaming preview goes live in October on Android, here's how to signup. https://t.co/WOLZJh\xe2\x80\xa6"""
2019-09-25 04:43:12,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 04:37:47,"b'RT @themchancompany: #stockmarketnews, #StockMarket everyone be aware of the qoudruple witching hour tomorrow $spy, $msft, $vix, https://t.\xe2\x80\xa6'"
2019-09-25 04:33:51,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 04:30:08,b'most active stocks on Tuesday - $VER $AMD $BAC $SNAP $GE $ROKU $BB $F $AAPL $NOK $MSFT $MU $S $T $INTC $CSCO $SQ\xe2\x80\xa6 https://t.co/Q3W5R6HXbt'
2019-09-25 04:27:48,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 04:22:28,b'RT @TedatACA: THIS JUST IN FROM THE SINCLAIR RETRANSMISSION CONSENT BLACKOUT ALERT DESK:  AT&amp;T Responds To Sinclair Blackout Threat | Radio\xe2\x80\xa6'
2019-09-25 04:22:21,"b""RT @GreenmanStocks: $AAPL $MSFT tomorrow could get so much uglier if $SPY doesn't bounce. Here are some nasty looking top setups on watch.\xe2\x80\xa6"""
2019-09-25 04:14:41,b'RT @TedatACA: THIS JUST IN FROM THE SINCLAIR RETRANSMISSION CONSENT BLACKOUT ALERT DESK:  AT&amp;T Responds To Sinclair Blackout Threat | Radio\xe2\x80\xa6'
2019-09-25 04:07:50,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 04:07:08,"b""S&amp;P/ Nasdaq Stock Discussion - SEPTEMBER 2019 - Ace's Talking Stocks Forum https://t.co/UEV5WZ76lq $MSFT bearish en\xe2\x80\xa6 https://t.co/KKWZme0v8P"""
2019-09-25 04:04:24,b'#WealthTax: All are paper rich &amp; own millions of shares in their own companies. Taxing them at 8% means them sellin\xe2\x80\xa6 https://t.co/4Oe2wffG20'
2019-09-25 04:00:09,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 03:54:13,"b""RT @MarkQuarter: Softbank, Goldman Sachs, J.P. Morgan &amp; Morgan Stanley: The IPO Debacle. Wall Street Journal's Ugly Assailing Of WeWork $MC\xe2\x80\xa6"""
2019-09-25 03:54:13,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 03:51:56,b'This doesn\xe2\x80\x99t actually make any sense. Gates\xe2\x80\x99 and Bezos\xe2\x80\x99 wealth are largely in the form of significant ownership of\xe2\x80\xa6 https://t.co/Qn5A7ESg2h'
2019-09-25 03:49:16,b'Microsoft Embraces Hybrid IT Model https://t.co/bcpP8bGrrR $MSFT'
2019-09-25 03:45:21,"b'RT @DefyCCC: GIFCT (Global Internet Forum to Counter Terrorism) has been founded by $GOOG, $FB, $TWTR, &amp; $MSFT.'"
2019-09-25 03:40:31,b'RT @SethCL: $ES $NDX $DJT $MSFT $TGT $AAPL $MU $VZ $T $BA $SHOP $W $UVXY $SPY $QQQ $BBY $SBUX $TSLA $BAC $JPM $INTC $TWTR $WMT $S $BABA You\xe2\x80\xa6'
2019-09-25 03:40:02,"b'GIFCT (Global Internet Forum to Counter Terrorism) has been founded by $GOOG, $FB, $TWTR, &amp; $MSFT.'"
2019-09-25 03:36:07,"b""RT @GreenmanStocks: $AAPL $MSFT tomorrow could get so much uglier if $SPY doesn't bounce. Here are some nasty looking top setups on watch.\xe2\x80\xa6"""
2019-09-25 03:31:06,"b""$AAPL $MSFT tomorrow could get so much uglier if $SPY doesn't bounce. Here are some nasty looking top setups on wat\xe2\x80\xa6 https://t.co/Lntch7kKEj"""
2019-09-25 03:27:26,b'@lakaiia1 What\xe2\x80\x99s your position on $msft'
2019-09-25 03:22:02,b'most active options Tuesday - $NIO $AAPL $AMD $ROKU $SNAP $NFLX $TSLA $BABA $MSFT $AMZN $SQ $BAC $FB $T $MU $JD\xe2\x80\xa6 https://t.co/WOrhjpiq2q'
2019-09-25 03:13:19,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 03:09:36,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 02:52:52,"b""$TMUS chosen as telecom partner for $MSFT's partner for game streaming platform xCloud\n\nLegere is playing on anothe\xe2\x80\xa6 https://t.co/8x0hY1kdFV"""
2019-09-25 02:51:51,b'Monday\xe2\x80\x99s \xf0\x9f\x91\x801: $AMZN $AAPL $NKE $FB $AMD $BABA $GOOGL $BA $ADBE $CRM $CMG $CGC $CRON $BYND $INTC $AVGO $BBY $BHC\xe2\x80\xa6 https://t.co/TRArb39RHJ'
2019-09-25 02:35:40,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 02:34:40,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 02:33:58,b'Game On (Your Phone): T-Mobile $TMUS and Microsoft $MSFT Team Up on Project xCloud Game Streaming\n\nhttps://t.co/UtDO6c8Kll'
2019-09-25 02:22:29,b'$AAPL Support and Resistance (Pivots) for Wed 9/25/19:\n\n$FB $AMZN $AAPL\n$GOOG $TSLA $C\n$BAC $CELG $IBB\n$MSFT $NFLX\xe2\x80\xa6 https://t.co/lrVGWRioTb'
2019-09-25 02:16:57,b'$NIO News out!! Conference Call 9/25 in Pre Hours 8am\n\n$CEI $TSLA $BIDU $BABA $GOOGL $WB $FB $IQ $NFLX $ROKU $TCEHY\xe2\x80\xa6 https://t.co/PTZRSjykEE'
2019-09-25 02:16:34,b'Microsoft Embraces Hybrid IT Model..\nhttps://t.co/id3Nyq87uM $MSFT'
2019-09-25 02:09:07,b'@thehill Put the Senate on the #JefferyEpstein Victim Relief schedule: tell em to take an aspirin &amp; holler at DC in\xe2\x80\xa6 https://t.co/VYBbfNMJSC'
2019-09-25 01:57:22,b'RT @Roka_Dura: Watching for options \n$MSFT $FB  $TSLA'
2019-09-25 01:54:28,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
2019-09-25 01:41:25,"b'RT @jchatterleyCNN: The first $BTC futures exchange @Bakkt\xc2\xa0launches today backed by @NYSE\xc2\xa0parent ICE, $MSFT &amp; others - what does it mean fo\xe2\x80\xa6'"
